symbol,split,entry_time,exit_time,net_return,gross_return,net_pnl,entry_notional
MFSL.NS,development,2022-03-28,2022-04-08,0.08507749853939424,0.08732424436076112,2066.693225359438,24291.889875
ESCORTS.NS,development,2022-03-29,2022-04-11,-0.043323863858731895,-0.041050656940780195,-1013.4183929856604,23391.690000000002
HCLTECH.NS,development,2022-04-12,2022-04-27,-0.033899144723171314,-0.03172477462132066,-843.0049098053519,24868.02887475586
INFY.NS,development,2022-04-12,2022-04-27,-0.11996287008842388,-0.11779686328710653,-2953.1622617349326,24617.3025
AUROPHARMA.NS,development,2022-04-28,2022-05-12,-0.09621732940766352,-0.09403972035981055,-2361.6751331279916,24545.215998687745
INDIGO.NS,development,2022-04-28,2022-05-12,-0.11022140953348518,-0.10799323777322725,-2617.744037415624,23749.869
AUROPHARMA.NS,development,2022-05-13,2022-05-26,-0.07950290566194505,-0.07734681879033532,-1983.4519185211745,24948.168900329587
BANKBARODA.NS,development,2022-05-13,2022-05-26,-0.00011492494314486974,0.0020668081841422868,-2.8621420406044784,24904.446
DIVISLAB.NS,development,2022-05-27,2022-06-09,-0.003076788995889699,-0.000872530576166132,-75.52676252316084,24547.2675
ONGC.NS,development,2022-05-30,2022-06-10,0.1265376429972936,0.12875488651421396,3153.1411677620918,24918.602030776976
DEEPAKNTR.NS,development,2022-06-10,2022-06-23,0.009737250407278663,0.011925530150215639,241.94163265391083,24847.017641967774
AUBANK.NS,development,2022-06-13,2022-06-24,0.037679454689286344,0.039879318298180144,934.1637356441158,24792.39
IEX.NS,development,2022-06-30,2022-07-13,0.012134332110811108,0.014315531977527038,302.96366395420387,24967.4775
AUBANK.NS,development,2022-07-06,2022-07-19,0.006456410051624169,0.008655016282802817,159.30759868550183,24674.331000000002
HCLTECH.NS,development,2022-07-14,2022-07-27,-0.001255175958383164,0.0009804121797083742,-30.239624613191804,24091.940585083004
GLENMARK.NS,development,2022-07-25,2022-08-05,0.011597134262617066,0.013777804109366415,289.61905643372137,24973.329606719974
BIOCON.NS,development,2022-07-29,2022-08-12,0.003579242139276074,0.005773740013816321,88.49445511311256,24724.35551147461
APLLTD.NS,development,2022-08-08,2022-08-23,-0.046195992498960475,-0.04399806634186364,-1129.7794480649122,24456.222
ABBOTINDIA.NS,development,2022-08-16,2022-08-29,-0.013928050827694173,-0.011246632501384265,-264.0824664812501,18960.4755
DIVISLAB.NS,development,2022-08-24,2022-09-07,0.007831919105536385,0.010018652989196433,194.72050136746543,24862.425
BSOFT.NS,development,2022-08-30,2022-09-13,0.057860228831365955,0.060056539701066,1442.8583421441344,24936.96225
APLLTD.NS,development,2022-09-08,2022-09-21,-0.053629132956167544,-0.051463402511468186,-1336.1135772351602,24913.95075
TORNTPOWER.NS,development,2022-09-15,2022-09-28,-0.10500925519688196,-0.10284773539592315,-2599.0966108578646,24751.119375
CANFINHOME.NS,validation,2022-09-22,2022-10-06,-0.09611273408847792,-0.09395641088084657,-2390.3650347887697,24870.43009918213
CANBK.NS,validation,2022-09-29,2022-10-13,0.04063719006428128,0.04282675387044785,1014.5024009864484,24964.875754983903
GODREJCP.NS,validation,2022-10-07,2022-10-20,-0.03688674109345018,-0.034712686147169436,-916.9904863492444,24859.623245819093
BIOCON.NS,validation,2022-10-14,2022-10-28,0.024562480875085075,0.026749544230136372,612.388341160844,24931.86027401733
APLLTD.NS,validation,2022-10-21,2022-11-04,0.19861096881425339,0.20087105626406798,4881.86445055573,24580.034424591064
BALRAMCHIN.NS,validation,2022-10-31,2022-11-14,0.08392404504009551,0.08613602987415844,2082.197399252908,24810.498567581177
BANDHANBNK.NS,development,2022-11-07,2022-11-21,-0.08856049834802529,-0.08640432971111874,-2205.7273583986794,24906.447
BATAINDIA.NS,validation,2022-11-15,2022-11-28,-0.02273428869918182,-0.020528396276225446,-555.5808249541413,24438.012216064453
BAJFINANCE.NS,validation,2022-11-22,2022-12-05,-0.00665006306837025,-0.004458829512844872,-164.45130067137103,24729.28436627197
GRANULES.NS,validation,2022-11-30,2022-12-13,-0.03977654966785288,-0.037612138614196516,-994.2742055600871,24996.492
MARUTI.NS,validation,2022-12-08,2022-12-21,-0.04062288327637316,-0.037751754217020275,-704.3465644631367,17338.665
BIOCON.NS,validation,2022-12-14,2022-12-27,-0.011147566525417771,-0.008967468567904414,-277.35851749350485,24880.633532089232
GNFC.NS,validation,2022-12-22,2023-01-04,0.03934305711076915,0.041562776563200905,963.8357734625006,24498.243
BAJAJFINSV.NS,validation,2023-01-09,2023-01-20,-0.08220411021372062,-0.08002684820637146,-2023.1499766008872,24611.2995
NAVINFLUOR.NS,validation,2023-01-09,2023-01-20,0.0386085625034652,0.04090408893734782,903.7761991620221,23408.698500000002
