symbol,split,entry_time,exit_time,net_return,gross_return,net_pnl,entry_notional,quantity
AARTIIND.NS,development,2022-03-07,2022-03-21,0.13646199257911973,0.13747954224181871,13543.798178680601,99249.59999999999,124
AARTIIND.NS,development,2022-05-04,2022-05-17,-0.0991889848691555,-0.0982394293727287,-9849.965171013126,99305.03053344727,116
AARTIIND.NS,validation,2022-09-30,2022-10-14,0.06098092406897641,0.06197432855429107,6089.158608710236,99853.49847802734,136
AARTIIND.NS,validation,2022-10-20,2022-11-03,0.06567874701513052,0.06667326014598576,6562.2218631149535,99913.932,146
AARTIIND.NS,validation,2022-11-18,2022-12-01,0.0209993779520732,0.021982409756386306,2090.989085882142,99573.85836163329,151
AARTIIND.NS,validation,2022-12-20,2023-01-02,-0.02515556822726585,-0.02418520690826453,-2501.0845098808363,99424.6875,159
AARTIIND.NS,validation,2023-01-23,2023-02-06,0.010963787753734478,0.011943140489255419,1093.8653936654925,99770.75607769776,179
AARTIIND.NS,validation,2023-05-11,2023-05-24,0.005685441873094915,0.0066642089765542025,565.9251657511852,99539.3459968872,196
AARTIIND.NS,validation,2023-07-05,2023-07-18,-0.060122473322822265,-0.059163427404838605,-5996.42571263125,99736.8435,202
AARTIIND.NS,validation,2024-03-14,2024-03-28,0.07782015063744091,0.07881844435765208,7769.711386647708,99841.896,162
AARTIIND.NS,validation,2024-05-15,2024-05-29,-0.03626152430861003,-0.035294660362126765,-3608.0116967875133,99499.725,153
AARTIIND.NS,validation,2024-07-22,2024-08-02,0.1159316564049132,0.11694138035112055,11561.276767449566,99724.93386163331,151
AARTIIND.NS,validation,2024-08-14,2024-08-28,0.02440282504493645,0.025385596290447694,2437.400968986637,99881.91795410155,160
AARTIIND.NS,out_of_sample,2024-10-08,2024-10-21,-0.0330090356181711,-0.0320413581684151,-3285.385534169972,99529.88545843505,189
AARTIIND.NS,out_of_sample,2024-11-11,2024-11-26,-0.010373923450524106,-0.009400357521898191,-1034.1128335164638,99683.86969967654,219
AARTIIND.NS,out_of_sample,2025-03-03,2025-03-17,0.017913951386619376,0.018894563844932467,1790.588159936849,99954.9525,265
AARTIIND.NS,out_of_sample,2025-04-07,2025-04-23,0.20774918014495522,0.20878498203133367,20734.682154124075,99806.3248175354,279
AARTIIND.NS,out_of_sample,2025-06-20,2025-07-03,0.09864202675706042,0.09964669779445323,9839.048857617474,99744.99897340393,229
AARTIIND.NS,out_of_sample,2025-07-23,2025-08-05,-0.0953451755526888,-0.09439677835238221,-9521.751883371679,99866.11098229981,236
AARTIIND.NS,out_of_sample,2025-08-06,2025-08-20,0.020866061909338336,0.02184839028283713,2081.15895875058,99738.94296839905,259
AARTIIND.NS,out_of_sample,2025-12-08,2025-12-19,0.007752309602063261,0.00872989300986685,775.0884145423072,99981.61249081422,273
AARTIIND.NS,out_of_sample,2026-01-22,2026-02-05,0.3232587391736566,0.3243273278489765,32298.051684202463,99913.932,292
AARTIIND.NS,out_of_sample,2026-06-09,2026-06-22,0.1201690302345133,0.12118031560391698,11973.617537915707,99639.795,230
ABB.NS,validation,2022-12-19,2022-12-30,-0.056329453734119274,-0.05536759123964114,-5594.0572084375035,99309.63,35
ABB.NS,validation,2023-04-13,2023-04-27,0.057974176512567636,0.058967049000171766,5784.121964602799,99770.66191442871,31
ABB.NS,validation,2023-07-21,2023-08-03,0.03762887690299337,0.03862846053595182,3640.230571186987,96740.34599999999,23
ABB.NS,validation,2024-02-05,2024-02-16,0.0028794005984556993,0.003859348645989426,285.20318957673777,99049.5,22
ABB.NS,validation,2024-07-15,2024-07-29,-0.031172646644889983,-0.030200538088692025,-3072.7769165695527,98572.85945507811,12
ABB.NS,out_of_sample,2025-01-31,2025-02-12,-0.05299422418441241,-0.05202446601040719,-5173.76198411292,97628.79,17
ABB.NS,out_of_sample,2025-03-03,2025-03-17,0.044433640417308636,0.045425147426306565,4405.397455153321,99145.54409179688,20
ABB.NS,out_of_sample,2025-07-16,2025-07-29,-0.007655124981013488,-0.006662681498052651,-730.1738996874968,95383.668,17
ABB.NS,out_of_sample,2025-08-05,2025-08-19,-0.0028826237611755865,-0.0018931362721006492,-277.82198848750124,96378.165,19
ABB.NS,out_of_sample,2025-11-13,2025-11-26,0.05104365846926512,0.052038849823010505,5038.485328249986,98709.33000000002,20
ABBOTINDIA.NS,development,2022-08-12,2022-08-26,-0.024201653019791176,-0.0232122627223117,-2299.0959277062866,94997.47499999999,5
ABBOTINDIA.NS,validation,2023-05-10,2023-05-23,-0.026352478098834408,-0.025331143552049636,-2323.763310723729,88180.068,4
ABBOTINDIA.NS,validation,2023-09-04,2023-09-15,0.017217638917989227,0.018234370983263137,1577.8277988469154,91640.19563671875,4
ABBOTINDIA.NS,validation,2023-12-21,2024-01-04,0.061752256904100015,0.06279667689248507,5472.4781747742645,88619.88936328125,4
ABBOTINDIA.NS,validation,2024-04-25,2024-05-09,-0.0021089560008678765,-0.0010126543215501192,-161.7319817583471,76688.17258007813,3
ABBOTINDIA.NS,out_of_sample,2025-01-29,2025-02-10,0.16780753799732342,0.16895671628726644,12770.66251795529,76103.0325,3
ABBOTINDIA.NS,out_of_sample,2025-04-07,2025-04-23,0.10520845213635201,0.1062986015446515,8684.352933068752,82544.2515,3
ABCAPITAL.NS,development,2022-06-21,2022-07-04,0.011553679984524856,0.012532520056362993,1154.6839281236237,99940.79199616241,1123
